id,file,line,area,symptom,local_behavior,remote_behavior,is_leak,severity,status,fix_direction
12,app/src/environment_authority.rs,1,authority parsing,authority string protocol now has one typed home,ParsedEnvironmentAuthority TerminalBootstrap/SavedSsh/Runtime,all app_state/runtime/provider/table/Workspace/Navigator consumers read the same parsed capabilities,yes,high,fixed_pending_validation,script/check_local_remote_parity forbids duplicate prefix parsers and legacy wrappers；LR-037 static CHECK + focused tests passed；cargo check and GUI/runtime verification pending
13,app/src/sftp_manager/browser.rs,712,symlink transfer guard exists in only one file browser,workspace File Browser rejects symlink before transfer,SFTP Browser downloads/uploads target bytes and helper chunk RPC follows symlink,UI + backend + helper protocol must enforce the same inode-kind deny contract,yes,high,in_progress,LR-039 tracked by LR-FILE-TRANSFER-SYMLINK-01；upload destination symlink can currently overwrite target and is the decisive regression
38,crates/remote_server/src/client/mod.rs,326,remote protocol outcome,oneof result None 被多个调用方解释为成功或默认值,本地 API 返回具体 Result 不存在空 outcome,远程 Write/Rename/Save/Resolve/CLI mutation 可把 malformed response 当成功或未找到,yes,critical,in_progress,在 send_request 建立 required-result validator；从 proto 静态核对覆盖集合；业务层 None 仅允许显式错误
39,app/src/remote_server/server_model.rs,1881,file browser listing,read_dir.flatten 与 metadata.ok 静默生成缺项或错误 metadata 的成功列表,本地 SFTP backend 任一 entry/lexical metadata 错误即失败,远程 helper 忽略 iterator 错误并降级 file_type/metadata,yes,high,in_progress,建立 complete-directory-listing collector；错误返回 top-level Error；symlink lexical metadata 与 target_kind 分离
40,app/src/terminal/cli_agent_session_index.rs + app/src/remote_server/cli_agent_sessions.rs,423,session history scan,本地 filter_map(Result::ok) 与远程 read_dir.flatten 都会把 traversal error 伪装成 partial success,Refresh 直接用较少 rows 覆盖本地 cache,remote RPC 返回 Success records 并覆盖 environment cache,yes,critical,in_progress,共享 recent JSONL discovery；scan 返回 Result；失败保留已有 rows 并显式反馈
41,app/src/terminal/cli_agent_session_index.rs + app/src/remote_server/cli_agent_sessions.rs,55,CLI-agent home resolution,home unavailable 被编码为成功空集或 filesystem root,local scan 返回 empty 并可覆盖 cache,remote helper 以 `/` 作为 home 并可能访问错误 store,yes,critical,in_progress,共享 required-home resolver；unknown 返回 Error；禁止 root fallback；scan/read/mutate 全链路复用
42,app/src/workspace/view/server_file_browser.rs,4586,file browser terminal listing,lexical symlink_metadata error 被 continue 静默跳过,Terminal backend 返回缺 row 的 Success,Remote helper 已返回 top-level Error,yes,high,in_progress,扩展 complete-listing contract 与 static guard 到 Terminal backend；metadata error 直接失败
43,app/src/terminal/cli_agent_session_index.rs + app/src/remote_server/cli_agent_sessions.rs,447,CLI-agent cwd metadata,同一 cwd 经过不同 normalization,local 原样保留 relative/missing/store path,remote clean_cwd 只保留安全 existing absolute dir,yes,high,in_progress,共享 host-scoped cwd normalizer；删除 remote-only parser；两侧 scanner 强制复用
44,app/src/terminal/cli_agent_session_index.rs + app/src/remote_server/cli_agent_sessions.rs,76,CLI-agent logical history quota,同一 logical limit 在两侧表示不同集合语义,local 对 Claude/Codex 各取 limit 因而最多 2x limit,remote 聚合 provider 后全局只取 limit,yes,critical,in_progress,LR-046：共享 logical source 聚合/dedup/sort/limit helper；两侧只在 provider 聚合后应用一次全局 quota
45,app/src/terminal/cli_agent_session_index.rs + app/src/remote_server/cli_agent_sessions.rs,508,Codex session index parser,session_index 字段 fallback 与 timestamp 投影重复实现,local 只认 id 并独立 parse line,remote 认 id/session_id 并独立提取 title/cwd/updated_at,yes,high,in_progress,LR-047：cli_agent_jsonl 提供唯一 Codex index record parser；两侧 scanner 只映射 host/path/output
46,app/src/workspace/view.rs + app/src/workspace/view/session_navigator.rs + app/src/terminal/cli_agent_session_index.rs,3727,Session Navigator initial scan boundary,构造器使用 lossy scan wrapper 后 configure 再 typed refresh,local cold start 重复扫描且首次错误被转换为 empty,remote authority refresh 已是单一 typed RPC commit boundary,yes,high,fixed,LR-048：静态/聚焦/cargo/冷启动 runtime 已验证单一 typed scan + transactional commit
47,app/src/remote_server/dev_remote_install.rs + app/src/workspace/view.rs + crates/remote_server/src/setup.rs,1397,dev remote helper install lifecycle,同 checkout 多 session 可并发启动相同 zigbuild 且 watchdog 与 compile timeout 都是 900s,本地 app 不需要 helper install lifecycle,remote reconnect 可资源竞争并在 helper 尚未完成时先标记 Error,yes,critical,fixed,LR-049：process-wide single-flight 与分层 timeout 已通过 remote → local → remote runtime 验证
48,crates/watcher/src/lib.rs + crates/repo_metadata/src/current_app_model.rs,303,filesystem watcher lexical symlink rename,RenameMode::Any 使用 Path::exists 跟随 symlink target,dangling symlink 新路径因 target missing 被错误归类为 deleted,远程与本地增量模型都依赖共享 watcher 归一化语义,yes,high,in_progress,LR-050：建立 lexical path tri-state resolver；NotFound=Missing；其他错误显式失败；broken symlink rename 无需重扫仍可见
49,app/src/remote_server/server_model.rs,1497,remote PTY mutation ownership,WritePty/ResizePty/ClosePty 只凭 daemon-global pty_id 操作并忽略 dispatch conn_id,本地 PTY handle 只暴露给 owner session,任一 Ready remote connection 可写入缩放或关闭另一连接 PTY,yes,critical,verified,LR-126：PTY registry 已收敛进 ConnectionState；owner focused tests 与 2026-07-19 双连接独立 PTY runtime 均通过
50,app/src/remote_server/server_buffer_tracker.rs + app/src/remote_server/server_model.rs,188,remote buffer mutation lifecycle,take_pending_by_kind 在一次 FileSaved/FailedToSave 中取走同 FileId 全部 Save/Resolve 请求且 handler 并发启动底层写入,本地 canonical buffer 状态只有一个但 FileModel 写操作未序列化,remote 多窗口/多连接请求可被首个结果误确认误失败并发生落盘乱序,yes,critical,verified,LR-127：ServerBufferTracker per-file single-active FIFO 已由 production ServerModel→FileModel 真实磁盘 Resolve→Save 顺序测试证明
51,app/src/remote_server/server_model.rs,376,remote inode-pinned transfer ownership,file_transfers 是 daemon-global map且每个 FileTransferState/value/helper 重复 conn_id owner check,本地 transfer descriptor 只在调用 owner 生命周期内可达,remote correctness 依赖每条新增 RPC 都记得手工校验并在 disconnect retain 清理,yes,high,verified,LR-128：file_transfers 收敛进 ConnectionState；nextest e3f992e7 production dispatch 证明断开 A 不影响 B 的 cursor/read/finish
52,app/src/remote_server/server_model.rs + app/src/workspace/environment_runtime.rs + app/src/workspace/view/server_file_browser.rs + app/src/sftp_manager/daemon_backend.rs,2946,remote transfer snapshot integrity,read transfer captures total_size but read==0 is treated as successful eof and reads are not capped to remaining snapshot bytes; clients discard/ignore total_size and accept monotonic-only offsets,本地 descriptor copy loops know exact bytes read and bounded readers can inspect metadata before allocation,remote source truncate can commit partial content as success and source growth can leak bytes beyond Begin snapshot; offset jump can silently corrupt progress/result,yes,critical,verified,LR-129：nextest e3f992e7 production dispatch 证明 Begin snapshot growth cap 与 truncation fail-closed；调用面复用 typed exact cursor contract
53,app/src/code/global_buffer_model.rs,1346,remote resolve transaction,ResolveConflict 在 FileSaved 前替换 canonical content/version/SyncClock且源码承认 FailedToSave 后 memory/disk divergence,本地保存失败不会把未成功落盘内容伪装成新的 committed base,remote resolve 失败后内存与磁盘分叉且后续 queued mutation 从未提交状态继续,yes,critical,verified,LR-130：production 异步 FileModel 失败测试证明 staging 回滚且 queued SaveBuffer 从 committed state 成功落盘
54,app/src/code/global_buffer_model.rs + crates/remote_server/src/manager.rs + app/src/remote_server/server_buffer_tracker.rs,1029,environment buffer binding and consumer ownership,Open/Edit/Save/Close 每次按 host 任取 client且任一 tab close 都删除 app-global shared buffer state,本地与远程 shared buffer 都应由所有 UI consumer 共同持有到 last release,同 host 多 session 会切换 connection；一个窗口关闭会让另一个窗口失去 sync/save；daemon 允许多 writer 但只有单 SyncClock,yes,critical,verified,LR-131：stable session binding + consumer leases + single writer owner；2026-07-20 双真实窗口关闭 A 后 B 仍成功保存且两 proxy 存活
55,app/src/code/global_buffer_model.rs + app/src/code/current_app_code_editor.rs,1001,shared buffer loading editability,initial content 到达前 editor 可编辑但 edit 因 sync_clock=None 被静默丢弃随后 replace_all 覆盖,loading buffer 应由 canonical lifecycle 投影为 non-editable并在 materialize 后统一解锁,远程慢加载窗口可无提示吞掉用户输入且失败路径伪装成可编辑新文件,yes,critical,verified,LR-132：shared Loading state 驱动 InteractionState；2026-07-20 真实 remote-fixture-secondary daemon STOP/CONT 验证 pending 输入被拒绝且 materialize 后可编辑保存
56,app/src/workspace/environment_runtime.rs + terminal input + AI tools + SFTP + warp_files,2677,operation-scoped transport binding,多个非 buffer 调用方已有 active SessionId 或 Environment target 却退化为 client_for_host 任取同 host session,本地直接使用当前 app backend不存在 transport ambiguity,同 host 多 session 时 skill inventory/AI read-edit/SFTP/diff save 可能跨窗口或跨会话投递,yes,critical,verified,LR-133：已删除 client_for_host API；所有入口持有 exact SessionId 并在 delivery 时 client_for_session；2026-07-19 双 session CWD 导航隔离通过
57,app/src/session_bridge/native_writer.rs + app/src/workspace/view.rs,642,native CLI project identity,SessionIr.project_path lexical spelling is written directly into Claude project slug/cwd and Codex cwd,macOS /tmp alias or symlink workspace can differ from target CLI canonical cwd,real Claude reports No conversation found although transcript exists under lexical slug,yes,high,verified,LR-134：local ed1b2039 + remote remote-fixture-secondary 39623c46 verified target canonical project context and real Claude resume through the shared native plan
58,app/src/workspace/view.rs + app/src/workspace/environment_provider.rs,11071,environment ControlMaster ownership,ControlMaster socket 只按 authority 生成且第二次 spawn 会先 ssh -O exit,本地无外部 ControlMaster 资源,同 authority 多窗口第二条连接杀掉第一条 proxy 并留下无 transport carrier 的可见 terminal,yes,verified,LR-135：authority + Environment-owned SessionId 唯一生成 control path；focused 2/2 + locked Warp tests通过；2026-07-19 clean App 双窗口双 master/proxy、独立 PTY/Abort/CWD 与零 transport 错误复验通过,LR-135：control path 必须由 authority + Environment-owned SessionId 唯一生成且 teardown 只作用于 owner
